date,industry_code,pe_ttm,pb,dividend_yield
2020-07-27,801030,27.62,2.2,1.31
2020-07-27,801120,44.82,8.44,1.05
2020-07-27,801180,9.44,1.26,3.1
2020-07-27,801710,16.53,2.37,2.04
2020-07-27,801890,31.38,2.39,0.84
2020-07-27,801880,28.36,1.75,1.46
2020-07-27,801790,18.6,1.9,1.48
2020-07-27,801770,45.44,2.96,0.38
2020-07-27,801780,5.94,0.67,4.73
2020-07-27,801750,79.59,4.9,0.31
2020-07-27,801730,40.69,3.11,0.53
2020-07-27,801760,49.13,2.85,0.56
2020-07-28,801160,21.84,1.42,1.86
2020-07-28,801150,57.66,5.06,0.54
2020-07-28,801120,46.39,8.74,1.02
2020-07-28,801010,22.38,4.23,1.44
2020-07-28,801080,56.82,4.34,0.48
2020-07-28,801050,44.99,2.51,0.57
2020-07-28,801040,12.58,0.89,2.64
2020-07-28,801030,28.08,2.23,1.29
2020-07-28,801170,22.14,1.41,1.41
2020-07-28,801110,21.09,3.32,2.85
2020-07-28,801180,9.5,1.26,3.08
2020-07-28,801710,16.6,2.38,2.03
2020-07-28,801890,31.6,2.4,0.84
2020-07-28,801880,28.49,1.76,1.45
2020-07-28,801790,18.59,1.9,1.48
2020-07-28,801770,46.03,3.0,0.37
2020-07-28,801780,5.97,0.68,4.71
2020-07-28,801750,80.08,4.93,0.31
2020-07-28,801730,40.98,3.13,0.53
2020-07-28,801760,49.78,2.89,0.56
2020-07-29,801160,22.1,1.43,1.92
2020-07-29,801150,59.91,5.26,0.51
2020-07-29,801120,46.67,8.96,1.01
2020-07-29,801170,22.55,1.44,1.39
2020-07-29,801080,59.18,4.53,0.46
2020-07-29,801050,45.59,2.55,0.56
2020-07-29,801040,12.78,0.9,2.48
2020-07-29,801030,28.78,2.29,1.27
2020-07-29,801010,22.65,4.29,1.42
2020-07-29,801110,22.23,3.5,2.7
2020-07-29,801180,9.66,1.28,3.03
2020-07-29,801890,32.33,2.46,0.81
2020-07-29,801880,29.21,1.8,1.43
2020-07-29,801790,19.19,1.96,1.43
2020-07-29,801780,6.05,0.69,4.65
2020-07-29,801770,47.28,3.08,0.36
2020-07-29,801760,51.16,2.98,0.57
2020-07-29,801730,42.12,3.22,0.51
2020-07-29,801710,16.91,2.43,1.99
2020-07-29,801750,82.63,5.09,0.3
2020-07-30,801150,60.32,5.3,0.53
2020-07-30,801120,46.94,9.01,1.0
2020-07-30,801110,21.93,3.45,2.73
2020-07-30,801040,12.68,0.89,2.5
2020-07-30,801050,45.02,2.51,0.57
2020-07-30,801030,28.92,2.3,1.26
2020-07-30,801010,22.77,4.31,1.42
2020-07-30,801160,22.21,1.44,1.81
2020-07-30,801080,58.61,4.49,0.47
2020-07-30,801170,22.54,1.44,1.39
2020-07-30,801180,9.62,1.28,3.04
2020-07-30,801890,32.24,2.45,0.81
2020-07-30,801880,28.88,1.78,1.44
2020-07-30,801790,18.93,1.93,1.45
2020-07-30,801780,5.98,0.68,4.7
