event_date,event_type,industry_code,real_dir,final_dir,dir_correct,pred_mean_5,real_CAR
2022-11-28,industry_policy,801180,-,+,False,0.017320215188258242,-0.000644
2022-11-28,industry_policy,801780,-,-,True,-0.02029922049482173,-0.006354
2022-11-28,industry_policy,801710,+,+,True,0.004414940214425729,0.002945
2023-02-01,capital_market_policy,801790,-,-,True,-0.0020513284303936953,-0.008788
2023-02-01,capital_market_policy,801780,-,-,True,-0.014593475980489195,-0.009393
2023-02-01,capital_market_policy,801750,+,+,True,0.012226885882129897,0.059277
2023-02-17,capital_market_policy,801790,+,+,True,0.010311881664662298,0.008809
2023-02-17,capital_market_policy,801780,+,-,False,-0.007955745730812239,0.012383
2023-02-17,capital_market_policy,801750,-,+,False,0.008052371098393045,-0.011665
2023-03-17,monetary_policy,801780,-,+,False,0.0042480565489413065,-0.023531
2023-03-17,monetary_policy,801790,+,+,True,0.0035854191459282884,0.000899
2023-03-17,monetary_policy,801180,-,-,True,-0.0038959299802114092,-0.011634
2023-05-21,geopolitical,801080,+,-,False,-0.014349423431428083,0.031436
2023-05-21,geopolitical,801750,+,-,False,-0.01901541552403187,0.01449
2023-05-21,geopolitical,801770,+,-,False,-0.010236135105259959,0.045626
2023-06-13,monetary_policy,801780,-,-,True,-0.005493315555077824,-0.054936
2023-06-13,monetary_policy,801790,-,-,True,-0.016812336980604685,-0.029759
2023-06-13,monetary_policy,801180,-,-,True,-0.029407647464195396,-0.053735
2023-06-15,monetary_policy,801780,-,+,False,0.00388330432339285,-0.0257
2023-06-15,monetary_policy,801790,-,-,True,-0.008941516055195057,-0.028583
2023-06-15,monetary_policy,801180,-,-,True,-0.006244396527041426,-0.040061
2023-06-20,monetary_policy,801780,+,-,False,-0.0017272828383454203,0.006226
2023-06-20,monetary_policy,801790,-,+,False,0.006242595408158021,-0.009731
2023-06-20,monetary_policy,801180,-,-,True,-0.013282154794902235,-0.000245
2023-06-20,monetary_policy,801710,-,-,True,-0.0038162761320734246,-0.01003
2023-06-21,industry_policy,801730,+,+,True,0.0003065436952125494,0.038536
2023-06-21,industry_policy,801160,+,+,True,0.0026012551497110376,0.047139
2023-06-21,industry_policy,801880,+,-,False,-0.005272995697261211,0.032289
2023-06-21,industry_policy,801050,+,+,True,0.012686761331083662,0.011856
