event_date,event_type,event_name,industry_code,direction,magnitude,window,t0,cum_ind_ret,cum_mkt_ret,CAR
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801790,+,高,5,2022-08-22,0.002558,-0.014828,0.017386
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801180,+,高,5,2022-08-22,-0.027859,-0.014828,-0.013031
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801710,+,高,5,2022-08-22,-0.044508,-0.014828,-0.02968
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801780,+,高,20,2022-08-22,0.00605,-0.052574,0.058623
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801790,+,高,20,2022-08-22,-0.046108,-0.052574,0.006465
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801180,+,高,20,2022-08-22,0.010419,-0.052574,0.062993
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801710,+,高,20,2022-08-22,-0.085598,-0.052574,-0.033024
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,1,2022-11-25,0.004715,-0.006273,0.010988
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,1,2022-11-25,-0.003493,-0.006273,0.00278
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,1,2022-11-25,0.042186,-0.006273,0.048459
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801710,+,中,1,2022-11-25,0.011558,-0.006273,0.017831
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,5,2022-11-25,0.033835,0.030382,0.003452
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,5,2022-11-25,0.042876,0.030382,0.012493
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,5,2022-11-25,0.082941,0.030382,0.052558
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801710,+,中,5,2022-11-25,0.03431,0.030382,0.003928
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,20,2022-11-25,0.035327,0.019008,0.016319
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,20,2022-11-25,0.024311,0.019008,0.005303
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,20,2022-11-25,0.034685,0.019008,0.015676
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801710,+,中,20,2022-11-25,0.010649,0.019008,-0.008359
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801180,+,高,1,2022-11-28,0.074841,0.01924,0.055601
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801780,+,高,1,2022-11-28,0.028222,0.01924,0.008982
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801710,+,高,1,2022-11-28,0.032811,0.01924,0.013571
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801180,+,高,5,2022-11-28,0.044672,0.045315,-0.000644
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801780,+,高,5,2022-11-28,0.038961,0.045315,-0.006354
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801710,+,高,5,2022-11-28,0.04826,0.045315,0.002945
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801180,+,高,20,2022-11-28,-0.027223,0.017934,-0.045157
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801780,+,高,20,2022-11-28,0.006077,0.017934,-0.011857
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,801710,+,高,20,2022-11-28,-0.012232,0.017934,-0.030166
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,1,2023-03-17,-0.004393,-1.9e-05,-0.004374
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,1,2023-03-17,0.008723,-1.9e-05,0.008742
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,1,2023-03-17,0.001884,-1.9e-05,0.001903
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,5,2023-03-17,-0.001218,0.022313,-0.023531
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,5,2023-03-17,0.023212,0.022313,0.000899
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,5,2023-03-17,0.010679,0.022313,-0.011634
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801780,+,中,20,2023-03-17,0.031739,0.05337,-0.021631
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801790,+,中,20,2023-03-17,0.07526,0.05337,0.02189
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,801180,+,中,20,2023-03-17,0.020508,0.05337,-0.032863
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801780,+,高,1,2023-06-20,-0.008209,-0.017013,0.008804
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801790,+,高,1,2023-06-20,-0.023639,-0.017013,-0.006627
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801180,+,高,1,2023-06-20,-0.029373,-0.017013,-0.01236
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801710,+,高,1,2023-06-20,-0.042791,-0.017013,-0.025778
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801780,+,高,5,2023-06-20,-0.021519,-0.027745,0.006226
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801790,+,高,5,2023-06-20,-0.037476,-0.027745,-0.009731
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801180,+,高,5,2023-06-20,-0.02799,-0.027745,-0.000245
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801710,+,高,5,2023-06-20,-0.037776,-0.027745,-0.01003
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801780,+,高,20,2023-06-20,-0.028829,-0.027274,-0.001555
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801790,+,高,20,2023-06-20,-0.00747,-0.027274,0.019804
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801180,+,高,20,2023-06-20,-0.017814,-0.027274,0.00946
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),801710,+,高,20,2023-06-20,-0.024263,-0.027274,0.003011
