event_date,event_name,industry_code,dispersion,realized_car_T1,realized_mdd_T1,realized_downside_T1,realized_t0_T1,pred_var_T1,pred_mdd_T1,pred_tail_T1,realized_car_T5,realized_mdd_T5,realized_downside_T5,realized_t0_T5,pred_var_T5,pred_mdd_T5,pred_tail_T5,realized_car_T20,realized_mdd_T20,realized_downside_T20,realized_t0_T20,pred_var_T20,pred_mdd_T20,pred_tail_T20,risk_lo_T1,risk_hi_T1,risk_lo_T5,risk_hi_T5,risk_lo_T20,risk_hi_T20
2020-04-15,央行开展中期借贷便利（MLF）操作，1年期中标利率下调20个基点至2.,801780,0.0,-0.002201630593946846,0.004040903184810981,0.002201630593946846,2020-04-15,-0.04972,0.02153,0.2335,-0.011517595373333744,0.013339695558227341,0.011517595373333744,2020-04-15,-0.13746,0.07695,0.05,-0.01867702257334669,0.03732342710453418,0.01867702257334669,2020-04-15,-0.4326,0.30594,0.05,-0.05569,0.01328,-0.14895,0.00655,-0.45429,-0.14533
2020-04-15,央行开展中期借贷便利（MLF）操作，1年期中标利率下调20个基点至2.,801790,0.0,0.0015177608790597485,0.0006459311480295771,0.0,2020-04-15,-0.02421,0.00431,0.05,-0.0046366112754633315,0.01175080460456481,0.0046366112754633315,2020-04-15,-0.03726,0.02093,0.05,-0.030577695909561498,0.037506479675337524,0.030577695909561498,2020-04-15,-0.17613,0.11409,0.05,-0.03095,0.04686,-0.05069,0.13138,-0.20174,0.14078
2020-04-15,央行开展中期借贷便利（MLF）操作，1年期中标利率下调20个基点至2.,801180,0.0,-0.004633176824710539,0.0067341239867383385,0.004633176824710539,2020-04-15,-0.05773,0.02037,0.127,-0.01765211685916024,0.01765211685916024,0.01765211685916024,2020-04-15,-0.15707,0.08552,0.05,-0.03156885902426876,0.04125720663743382,0.03156885902426876,2020-04-15,-0.40445,0.26664,0.05,-0.06607,0.03028,-0.17168,0.01884,-0.43014,-0.07147
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801780,0.0,0.0010950851804076844,0.006679350283065211,0.0,2020-04-20,-0.02534,0.00701,0.05,0.008030239425580232,0.010198174365278263,0.0,2020-04-20,-0.05471,0.0254,0.05,-0.0037756636502306318,0.03836673895211702,0.0037756636502306318,2020-04-20,-0.14477,0.08958,0.05,-0.02984,0.02215,-0.06529,0.06198,-0.16094,0.0705
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801790,0.0,5.798251742983318e-05,0.004292978632327837,0.0,2020-04-20,-0.04515,0.01388,0.117,-0.02211300271950023,0.026367504366804947,0.02211300271950023,2020-04-20,-0.12986,0.06459,0.05,-0.03332632501751698,0.038362684907941855,0.03332632501751698,2020-04-20,-0.435,0.28694,0.05,-0.05248,0.03214,-0.14398,0.04879,-0.46374,-0.08257
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801180,0.0,-0.0050320177893302676,0.0050320177893302676,0.0050320177893302676,2020-04-20,-0.05442,0.02265,0.142,-0.007264099194589813,0.008390750211420772,0.007264099194589813,2020-04-20,-0.12661,0.06492,0.05,-0.032249062202857615,0.03420602819303825,0.032249062202857615,2020-04-20,-0.36605,0.23468,0.05,-0.06121,0.01719,-0.13931,0.03815,-0.39386,-0.04342
2020-04-20,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(,801710,0.0,0.038832423930752036,0.0,0.0,2020-04-20,-0.03889,0.00745,0.05,0.01985483313448011,0.019294607182851968,0.0,2020-04-20,0.01043,0.01484,0.05,0.004538080692873425,0.034740319587901025,0.0,2020-04-20,0.08821,0.04289,0.05,-0.04877,0.06533,-0.00722,0.21641,0.05396,0.47094
2020-06-12,证监会发布创业板改革并试点注册制相关制度规则（首发注册管理办法等，试行,801790,0.0,-0.0029138920182216754,0.004841264484609975,0.0029138920182216754,2020-06-12,-0.06793,0.01979,0.0725,-0.006511220059412737,0.011204368409062027,0.006511220059412737,2020-06-12,-0.18508,0.08974,0.05,0.06810676190094811,0.03307261074880646,0.0,2020-06-12,-0.49696,0.29815,0.05,-0.07948,0.05385,-0.20847,0.09403,-0.53948,0.0506
2020-06-12,证监会发布创业板改革并试点注册制相关制度规则（首发注册管理办法等，试行,801780,0.0,-0.0027558889417429455,0.0027558889417429455,0.0027558889417429455,2020-06-12,-0.03577,0.00967,0.05,-0.03185555833881626,0.03185555833881626,0.03185555833881626,2020-06-12,-0.0744,0.03405,0.05,-0.1172165324166744,0.1172165324166744,0.1172165324166744,2020-06-12,-0.19733,0.11824,0.05,-0.04226,0.03271,-0.08643,0.07578,-0.22069,0.10463
2020-06-12,证监会发布创业板改革并试点注册制相关制度规则（首发注册管理办法等，试行,801750,0.0,0.005351022245621007,0.0033358009998391003,0.0,2020-06-12,-0.06771,0.01739,0.05,-0.00048764258846378805,0.012572352744442563,0.00048764258846378805,2020-06-12,-0.14885,0.06795,0.05,0.030346873361152715,0.051171357957987294,0.0,2020-06-12,-0.29594,0.17022,0.05,-0.08056,0.06792,-0.17279,0.16724,-0.34642,0.30717
